first_name,last_name,full_name,phone_number,email_address,SN,region,unique_id,date_hired,address,gender,age,branch,branch_status,branch_head,dept,dept_status,dept_head,associate_training,senior_training,managerial_training,att_ytd,_06_Jan_23,comment06012023,input_location_06_Jan_23,_13_Jan_23,comment13012023,input_location_13_Jan_23,_20_Jan_23,comment20012023,input_location_20_Jan_23,_27_Jan_23,comment27012023,input_location_27_Jan_23,_03_Feb_23,comment03022023,input_location_03_Feb_23,_10_Feb_23,comment10022023,input_location_10_Feb_23,_17_Feb_23,comment17022023,input_location_17_Feb_23,_24_Feb_23,comment24022023,input_location_24_Feb_23,_03_Mar_23,comment03032023,input_location_03_Mar_23,_10_Mar_23,comment10032023,input_location_10_Mar_23,_17_Mar_23,comment17032023,input_location_17_Mar_23,_24_Mar_23,comment24032023,input_location_24_Mar_23,_31_Mar_23,comment31032023,input_location_31_Mar_23,_07_Apr_23,comment07042023,input_location_07_Apr_23,_14_Apr_23,comment14042023,input_location_14_Apr_23,_21_Apr_23,comment21042023,input_location_21_Apr_23,_28_Apr_23,comment28042023,input_location_28_Apr_23,_05_May_23,comment05052023,input_location_05_May_23,_12_May_23,comment12052023,input_location_12_May_23,_19_May_23,comment19052023,input_location_19_May_23,_26_May_23,comment26052023,input_location_26_May_23,_02_Jun_23,comment02062023,input_location_02_Jun_23,_09_Jun_23,comment09062023,input_location_09_Jun_23,_16_Jun_23,comment16062023,input_location_16_Jun_23,_23_Jun_23,comment23062023,input_location_23_Jun_23,_30_Jun_23,comment30062023,input_location_30_Jun_23,_07_Jul_23,comment07072023,input_location_07_Jul_23,_14_Jul_23,comment14072023,input_location_14_Jul_23,_21_Jul_23,comment21072023,input_location_21_Jul_23,_28_Jul_23,comment28072023,input_location_28_Jul_23,_04_Aug_23,comment04082023,input_location_04_Aug_23,_11_Aug_23,comment11082023,input_location_11_Aug_23,_18_Aug_23,comment18082023,input_location_18_Aug_23,_25_Aug_23,comment25082023,input_location_25_Aug_23,_01_Sep_23,comment01092023,input_location_01_Sep_23,_08_Sep_23,comment08092023,input_location_08_Sep_23,_15_Sep_23,comment15092023,input_location_15_Sep_23,_22_Sep_23,comment22092023,input_location_22_Sep_23,_29_Sep_23,comment29092023,input_location_29_Sep_23,_06_Oct_23,comment06102023,input_location_06_Oct_23,_13_Oct_23,comment13102023,input_location_13_Oct_23,_20_Oct_23,comment20102023,input_location_20_Oct_23,_27_Oct_23,comment27102023,input_location_27_Oct_23,_03_Nov_23,comment03112023,input_location_03_Nov_23,_10_Nov_23,comment10112023,input_location_10_Nov_23,_17_Nov_23,comment17112023,input_location_17_Nov_23,_24_Nov_23,comment24112023,input_location_24_Nov_23,_01_Dec_23,comment01122023,input_location_01_Dec_23,_08_Dec_23,comment08122023,input_location_08_Dec_23,_15_Dec_23,comment15122023,input_location_15_Dec_23,_22_Dec_23,comment22122023,input_location_22_Dec_23,_29_Dec_23,comment29122023,input_location_29_Dec_23
Bradley,Frank,Bradley Frank,1800863420,bradleyfrank@buymart.org,11,USA,BM-11-US,2022-11-27 00:00:00+00:00,850 Jason Pike Apt. 705,M,41,Florida,Branch Worker,Anna Ellis,HumanResources,Staff,Amanda Castillo,,,,57.89,Incomplete,,HR USA,Completed,,HumanResources USA,Completed,,HR USA,Incomplete,,HumanResources USA,Incomplete,,HumanResources USA,Completed,,Florida USA,Incomplete,,HumanResources USA,Completed,,Florida USA,Completed,,HR USA,Completed,,HumanResources USA,Incomplete,,HumanResources USA,Completed,,HR USA,Completed,,HumanResources USA,Incomplete,,Florida USA,Completed,,HR USA,Incomplete,,HR USA,Completed,,Florida USA,Completed,,HumanResources USA,Incomplete,,HumanResources USA,Completed,,HR USA,Incomplete,,Florida USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon,Hood,Brandon Hood,1800956653,brandonhood@buymart.org,12,USA,BM-12-US,2022-11-27 00:00:00+00:00,112 Schroeder Court,M,53,Delaware,Branch Worker,Gregory Brown,UserExperience,Staff,Abigail Johnson,,,,63.16,Incomplete,,Delaware USA,Completed,,UserExperience USA,Completed,,UserExperience USA,Incomplete,,Delaware USA,Incomplete,,UserExperience USA,Completed,,HR USA,Completed,,Delaware USA,Completed,,UserExperience USA,Completed,,HR USA,Completed,,Delaware USA,Completed,,UserExperience USA,Completed,,UserExperience USA,Incomplete,,Delaware USA,Incomplete,,UserExperience USA,Incomplete,,UserExperience USA,Incomplete,,UserExperience USA,Completed,,Delaware USA,Completed,,UserExperience USA,Completed,,Delaware USA,Completed,,UserExperience USA,Incomplete,,UserExperience USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendan,Smith,Brendan Smith,1800588261,brendansmith@buymart.org,13,USA,BM-13-US,2022-11-27 00:00:00+00:00,3582 Baker Spur,M,50,Texas,Branch Worker,Alexander Coleman,Product,Staff,Andrew Johns,done,,,47.37,Completed,,HR USA,Completed,,Texas USA,Incomplete,,HR USA,Incomplete,,Texas USA,Incomplete,,HR USA,Completed,,Product USA,Completed,,HR USA,Incomplete,,Product USA,Incomplete,,Product USA,Incomplete,,HR USA,Completed,,Product USA,Incomplete,,Product USA,Completed,,HR USA,Incomplete,,Product USA,Incomplete,,Product USA,Incomplete,,Product USA,Completed,,HR USA,Completed,,Texas USA,Completed,,HR USA,Incomplete,,Product USA,Incomplete,,Product USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian,Koch,Brian Koch,1800941287,briankoch@buymart.org,14,USA,BM-14-US,2022-11-27 00:00:00+00:00,11861 Howard Course Suite 494,M,22,Oklahoma,Branch Worker,Chad Parker,HumanResources,Staff,Amanda Castillo,done,,,26.32,Incomplete,,HumanResources USA,Incomplete,,HumanResources USA,Incomplete,,HumanResources USA,Incomplete,,HR USA,Incomplete,,Oklahoma USA,Incomplete,,Oklahoma USA,Incomplete,,HumanResources USA,Completed,,HumanResources USA,Incomplete,,Oklahoma USA,Completed,,Oklahoma USA,Completed,,HumanResources USA,Incomplete,,HR USA,Incomplete,,Oklahoma USA,Completed,,Oklahoma USA,Incomplete,,HumanResources USA,Incomplete,,HR USA,Completed,,HR USA,Incomplete,,HumanResources USA,Incomplete,,HumanResources USA,Incomplete,,HR USA,Completed,,Oklahoma USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlos,Richardson,Carlos Richardson,1800891635,carlosrichardson@buymart.org,15,USA,BM-15-US,2022-11-27 00:00:00+00:00,9866 Anderson Causeway Apt. 073,M,48,Massachusetts,Branch Worker,Crystal Barnes,HumanResources,Staff,Amanda Castillo,,,,36.84,Completed,,HR USA,Completed,,Massachusetts USA,Incomplete,,Massachusetts USA,Incomplete,,Massachusetts USA,Incomplete,,Massachusetts USA,Completed,,Massachusetts USA,Incomplete,,HR USA,Incomplete,,HumanResources USA,Incomplete,,HumanResources USA,Completed,,HumanResources USA,Incomplete,,HR USA,Incomplete,,Massachusetts USA,Completed,,Massachusetts USA,Incomplete,,HumanResources USA,Incomplete,,Massachusetts USA,Incomplete,,HumanResources USA,Completed,,Massachusetts USA,Completed,,Massachusetts USA,Incomplete,,HR USA,Incomplete,,Massachusetts USA,Incomplete,,HumanResources USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carol,Sanford,Carol Sanford,1800145613,carolsanford@buymart.org,16,USA,BM-16-US,2022-11-27 00:00:00+00:00,4257 Susan Isle Suite 748,F,39,Texas,Branch Worker,Alexander Coleman,Technology,Staff,Alexander Page,done,,,42.11,Incomplete,,Technology USA,Incomplete,,Texas USA,Completed,,Technology USA,Incomplete,,Texas USA,Completed,,HR USA,Incomplete,,Texas USA,Incomplete,,Texas USA,Completed,,HR USA,Incomplete,,Texas USA,Completed,,HR USA,Completed,,Texas USA,Incomplete,,Technology USA,Incomplete,,HR USA,Completed,,HR USA,Completed,,HR USA,Completed,,Texas USA,Incomplete,,Texas USA,Incomplete,,Texas USA,Incomplete,,Texas USA,Incomplete,,Technology USA,Completed,,HR USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carrie,Simmons,Carrie Simmons,1800597227,carriesimmons@buymart.org,17,USA,BM-17-US,2022-11-27 00:00:00+00:00,7136 Amanda Course,F,29,Texas,Branch Worker,Alexander Coleman,CustomerService,Staff,Amanda Rogers,done,,,68.42,Completed,,HR USA,Completed,,Texas USA,Completed,,Texas USA,Completed,,HR USA,Completed,,Texas USA,Incomplete,,CustomerService USA,Completed,,CustomerService USA,Incomplete,,HR USA,Completed,,HR USA,Completed,,CustomerService USA,Completed,,Texas USA,Completed,,CustomerService USA,Completed,,CustomerService USA,Incomplete,,HR USA,Incomplete,,CustomerService USA,Incomplete,,Texas USA,Incomplete,,HR USA,Completed,,Texas USA,Completed,,CustomerService USA,Completed,,CustomerService USA,Incomplete,,HR USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cassandra,Miller,Cassandra Miller,1800310463,cassandramiller@buymart.org,18,USA,BM-18-US,2022-11-27 00:00:00+00:00,04779 Virginia Forest Suite 424,F,31,California,Branch Worker,Alicia Jenkins,UserExperience,Staff,Abigail Johnson,,,,68.42,Completed,,UserExperience USA,Completed,,California USA,Completed,,HR USA,Incomplete,,UserExperience USA,Completed,,HR USA,Incomplete,,UserExperience USA,Completed,,HR USA,Completed,,UserExperience USA,Completed,,UserExperience USA,Incomplete,,UserExperience USA,Completed,,California USA,Incomplete,,HR USA,Completed,,UserExperience USA,Completed,,UserExperience USA,Incomplete,,California USA,Incomplete,,HR USA,Completed,,California USA,Completed,,California USA,Completed,,HR USA,Incomplete,,HR USA,Completed,,UserExperience USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catherine,Atkinson,Catherine Atkinson,1800528310,catherineatkinson@buymart.org,19,USA,BM-19-US,2022-11-27 00:00:00+00:00,8614 Michael Mills Apt. 780,F,50,California,Branch Worker,Alicia Jenkins,DataAnalyst,Staff,Allison Arnold,done,,,63.16,Completed,,DataAnalyst USA,Completed,,HR USA,Completed,,DataAnalyst USA,Completed,,HR USA,Incomplete,,HR USA,Completed,,DataAnalyst USA,Incomplete,,California USA,Completed,,DataAnalyst USA,Completed,,California USA,Completed,,HR USA,Completed,,California USA,Incomplete,,DataAnalyst USA,Incomplete,,HR USA,Completed,,DataAnalyst USA,Incomplete,,California USA,Completed,,HR USA,Incomplete,,DataAnalyst USA,Completed,,HR USA,Incomplete,,California USA,Incomplete,,DataAnalyst USA,Completed,,DataAnalyst USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christina,Burch,Christina Burch,1800826032,christinaburch@buymart.org,20,USA,BM-20-US,2022-11-27 00:00:00+00:00,4317 Williams Lodge,F,33,Texas,Branch Worker,Alexander Coleman,UserExperience,Staff,Abigail Johnson,done,,,21.05,Incomplete,,UserExperience USA,Completed,,Texas USA,Incomplete,,Texas USA,Incomplete,,Texas USA,Incomplete,,Texas USA,Incomplete,,Texas USA,Incomplete,,UserExperience USA,Incomplete,,HR USA,Incomplete,,Texas USA,Completed,,UserExperience USA,Incomplete,,HR USA,Incomplete,,Texas USA,Incomplete,,UserExperience USA,Incomplete,,Texas USA,Incomplete,,UserExperience USA,Incomplete,,HR USA,Completed,,Texas USA,Completed,,Texas USA,Incomplete,,UserExperience USA,Incomplete,,Texas USA,Incomplete,,Texas USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christina,Rose,Christina Rose,1800238224,christinarose@buymart.org,21,USA,BM-21-US,2022-11-27 00:00:00+00:00,82536 Rogers Ranch,F,46,Utah,Branch Worker,Andrew Johnson,Merchandising,Staff,Brent Lozano,done,,,42.11,Incomplete,,Utah USA,Incomplete,,Merchandising USA,Completed,,Merchandising USA,Incomplete,,HR USA,Incomplete,,Merchandising USA,Completed,,Merchandising USA,Incomplete,,Utah USA,Completed,,Utah USA,Completed,,HR USA,Incomplete,,Utah USA,Completed,,HR USA,Incomplete,,Utah USA,Completed,,Utah USA,Incomplete,,Merchandising USA,Completed,,Utah USA,Incomplete,,HR USA,Completed,,Utah USA,Incomplete,,Merchandising USA,Incomplete,,Utah USA,Incomplete,,Utah USA,Incomplete,,Merchandising USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christine,Thompson,Christine Thompson,1800278694,christinethompson@buymart.org,22,USA,BM-22-US,2022-11-27 00:00:00+00:00,6489 Rebecca Tunnel,F,32,Florida,Branch Worker,Anna Ellis,UserExperience,Staff,Abigail Johnson,done,,,26.32,Incomplete,,UserExperience USA,Incomplete,,HR USA,Incomplete,,UserExperience USA,Incomplete,,Florida USA,Incomplete,,UserExperience USA,Completed,,UserExperience USA,Incomplete,,UserExperience USA,Incomplete,,HR USA,Incomplete,,Florida USA,Incomplete,,UserExperience USA,Completed,,HR USA,Incomplete,,Florida USA,Completed,,HR USA,Incomplete,,Florida USA,Completed,,HR USA,Completed,,UserExperience USA,Incomplete,,Florida USA,Incomplete,,HR USA,Incomplete,,UserExperience USA,Incomplete,,Florida USA,Incomplete,,Florida USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
